sketch 畫素描
strive 努力
harmony 和諧
landscape 景觀
pesticide 農藥
diluted 稀釋
weed 雜草
hypothetical 假設
ancient 古老的
commodity 商品
feast 盛宴
violets 紫羅蘭
egyptians 埃及人
spinach 菠菜
squash 南瓜
concerns 擔憂
lawn 草地
mowing 割草
drains 流掉
condition 情況
border 邊界
distinctive 有特色的
slightly 稍微地
marigold 金盞花
artichoke 洋薊
asparagus 蘆筍
pansy 三色堇
dependent 依賴的
ground 地面
herbicide 除草劑
insecticide 殺蟲劑
bacterium 滅菌劑
edge 邊緣
shape 形狀
gas 汽油
harmful 有害的
sense 意義
maintain 保持
function 功能
riot 暴亂
dramatically 戲劇性地
adequate 足夠的
aggressive 侵略的
yield 產量
maize 玉米
compound 加重
disaster 災害
political 政治的
turmoil 暴亂
global 全球的
resource 資源
forward 向前
profit 利潤
challenge 挑戰
ease 減輕
tide 潮水
unfavorable 不利的
break out 爆發
roughly 大約
inconvenient 不便的
starvation 飢餓
survival 存活
period 時期
shortage 不足
billion 十億
reason 理由
demand 要求
regret 後悔
broccoli 花椰菜
accomplishment 成就
organize 規劃
recipe 食譜
motivate 鼓勵
privilege 特權
tourist 遊客
privacy 隱私
regulation 規律
variety 多樣的
disappointment 失望
splashed 濺起
fancy 幻想
chop 劈砍剁
sprinkled 噴灑
splendid 燦爛
attendant 服務員
sigh 嘆氣
coupon 折價券
restrictions 限制
crisp 脆皮
syrup 糖漿
preserves 防腐劑
powdered 粉末
contribution 貢獻
volcano 火山
foundation 基礎
spice up 增添趣味
scholarships 獎學金
horrible 可怕的
retail 零售的
clothing 衣服
stock 儲存
messy 混亂的
cocktail dress 酒會禮服
designer 設計師
jewelry 珠寶
available 可得到的
print 印出
membership 會員
curves 曲線
diamonds 鑽石
ivory 象牙
approval 贊同
social 社交的
community 社區
post 郵件
deal 交易
similar 相似的
jealous 忌妒的
absolutely 完全的
comment 評論
recent 最近的
virus 病毒
quality 品質
reputation 名聲
suspicious 可疑的
spacious 寬敞的
luxurious 豪華的
cautious 謹慎的
religious 宗教的
gracious 親切的
scam 詐騙
authentication 證明
spyware 木馬
security breach 安全漏洞
delivery 傳送
evaluate 評價
seal 印章
image 影像
exhibit 展示
obvious 明顯的
sign 暗號
download 下載
security 安全
enjoyable 快樂的
nevertheless 然而
effective 有效的
safely 安全地
research 研究調查
site 地點
fine 好的;罰款
cancellation 取消
